c_personid,c_year,c_index_year
549475,1259,1229
549476,1259,1229
549477,1259,1229
549478,1259,1229
549479,1259,1229
549480,1259,1229
549481,1259,1229
549482,1259,1229
549483,1259,1229
549484,1259,1229
549485,1259,1229
549486,1259,1229
549487,1259,1229
549488,1259,1229
549489,1259,1229
549490,1259,1229
549491,1259,1229
549492,1259,1229
549493,1259,1229
549494,1259,1229
549495,1259,1229
549496,1259,1229
549497,1259,1229
549498,1259,1229
549499,1259,1229
549500,1259,1229
549501,1259,1229
549502,1259,1229
549503,1259,1229
549504,1259,1229
549505,1259,1229
549506,1259,1229
549507,1259,1229
549508,1259,1229
549509,1259,1229
549510,1259,1229
549511,1259,1229
549512,1259,1229
549513,1259,1229
549514,1259,1229
549515,1259,1229
549516,1259,1229
549517,1259,1229
549518,1259,1229
549519,1259,1229
549520,1259,1229
549521,1259,1229
549522,1259,1229
549523,1259,1229
549524,1259,1229
549525,1259,1229
550231,1259,1229
10274,1256,1230
17085,1256,1230
25992,1260,1230
39039,1256,1230
39860,1268,1230
42392,1256,1230
44146,1260,1230
44765,1256,1230
44925,1256,1230
45277,1256,1230
45299,1256,1230
46977,1256,1230
51447,1256,1230
47819,1256,1230
48542,1256,1230
48650,1256,1230
49621,1256,1230
49914,1256,1230
50366,1256,1230
50370,1256,1230
50751,1256,1230
50831,1256,1230
51013,1256,1230
51534,1256,1230
51898,1256,1230
52753,1256,1230
52895,1256,1230
52918,1256,1230
541846,1260,1230
541847,1260,1230
11121,1271,1231
21182,1265,1231
40153,1256,1231
41058,1256,1231
41239,1256,1231
41855,1256,1231
47499,1256,1231
43988,1256,1231
44616,1256,1231
44999,1256,1231
45306,1256,1231
46017,1256,1231
47026,1256,1231
50376,1256,1231
50736,1256,1231
50752,1256,1231
50827,1256,1231
50860,1256,1231
52214,1256,1231
136216,1256,1231
12921,1262,1232
15213,1268,1232
15252,1256,1232
15991,1262,1232
15994,1262,1232
15995,1262,1232
16731,1262,1232
16937,1262,1232
16943,1262,1232
21929,1262,1232
21940,1262,1232
22115,1262,1232
24218,1262,1232
24354,1262,1232
25228,1262,1232
27793,1262,1232
28025,1262,1232
26035,1262,1232
27606,1262,1232
27629,1256,1232
27634,1256,1232
27653,1256,1232
28499,1274,1232
29842,1262,1232
38124,1262,1232
